index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
1700,3-комнатная квартира,5.0,64.0,5.0,MISSING,MISSING,1984.0,2.5,раздельный,полностью меблирована,25207530.0,32000000.0
645,1-комнатная квартира,3.0,40.0,6.0,MISSING,MISSING,2009.0,2.8,совмещенный,MISSING,16254843.0,14500000.0
1074,1-комнатная квартира,1.0,20.0,3.0,MISSING,MISSING,1961.0,2.5,совмещенный,полностью меблирована,7800219.0,9000000.0
1231,2-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,1987.0,-999.0,MISSING,MISSING,21141390.0,27000000.0
804,1-комнатная квартира,2.0,41.0,5.0,MISSING,MISSING,1987.0,-999.0,раздельный,частично меблирована,16011098.0,17500000.0
871,1-комнатная квартира,1.0,43.1,4.0,MISSING,MISSING,-999.0,2.7,совмещенный,полностью меблирована,14311431.0,13500000.0
1450,2-комнатная квартира,1.0,63.0,6.0,MISSING,MISSING,2010.0,-999.0,раздельный,MISSING,22228416.0,22500000.0
186,1-комнатная квартира,1.0,33.0,5.0,MISSING,MISSING,1982.0,-999.0,раздельный,полностью меблирована,15866886.0,13000000.0
788,2-комнатная квартира,2.0,43.0,2.0,MISSING,MISSING,-999.0,-999.0,раздельный,пустая,14094466.0,8500000.0
1359,2-комнатная квартира,3.0,61.0,6.0,MISSING,MISSING,2010.0,2.8,раздельный,частично меблирована,22225718.0,22500000.0
982,3-комнатная квартира,1.0,69.0,3.0,MISSING,MISSING,1982.0,2.8,раздельный,полностью меблирована,29451920.0,29000000.0
838,2-комнатная квартира,5.0,62.0,6.0,MISSING,MISSING,2007.0,2.7,раздельный,MISSING,22320458.0,23000000.0
496,2-комнатная квартира,2.0,48.2,2.0,MISSING,MISSING,1960.0,2.8,раздельный,частично меблирована,15565698.0,8600000.0
1272,2-комнатная квартира,5.0,57.0,9.0,MISSING,MISSING,2006.0,-999.0,раздельный,частично меблирована,24941436.0,23500000.0
1428,3-комнатная квартира,2.0,60.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,пустая,25692580.0,26000000.0
899,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1996.0,2.5,раздельный,пустая,21876752.0,20600000.0
1622,2-комнатная квартира,3.0,72.0,3.0,MISSING,MISSING,1973.0,-999.0,раздельный,MISSING,22775848.0,23000000.0
1122,2-комнатная квартира,8.0,57.0,9.0,Максима на Райымбека,монолитный,2006.0,2.8,раздельный,частично меблирована,25938492.0,24500000.0
1340,3-комнатная квартира,8.0,74.7,9.0,MISSING,MISSING,2007.0,-999.0,раздельный,полностью меблирована,29803812.0,28000000.0
1657,1-комнатная квартира,2.0,44.0,9.0,Максима на Райымбека,монолитный,2006.0,2.7,совмещенный,MISSING,19166666.0,19500000.0
1582,1-комнатная квартира,5.0,43.0,6.0,MISSING,MISSING,2010.0,2.8,совмещенный,пустая,14277898.0,15500000.0
729,1-комнатная квартира,2.0,42.0,3.0,MISSING,MISSING,1985.0,2.7,совмещенный,MISSING,16694478.0,20000000.0
1195,2-комнатная квартира,3.0,61.0,6.0,MISSING,MISSING,2008.0,2.6,раздельный,полностью меблирована,23751022.0,23000000.0
1204,2-комнатная квартира,4.0,62.0,6.0,MISSING,MISSING,2008.0,-999.0,MISSING,частично меблирована,22377334.0,21000000.0
828,2-комнатная квартира,3.0,54.0,9.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,MISSING,22636424.0,25800000.0
1310,2-комнатная квартира,8.0,70.2,9.0,MISSING,MISSING,2007.0,2.8,раздельный,частично меблирована,27739462.0,27900000.0
1644,1-комнатная квартира,4.0,40.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,MISSING,16081558.0,17000000.0
400,2-комнатная квартира,1.0,36.0,2.0,MISSING,MISSING,1974.0,-999.0,совмещенный,частично меблирована,11213044.0,9500000.0
485,1-комнатная квартира,1.0,31.0,5.0,MISSING,MISSING,1964.0,-999.0,совмещенный,частично меблирована,17087276.0,14500000.0
904,3-комнатная квартира,8.0,74.0,10.0,MISSING,MISSING,-999.0,2.8,раздельный,пустая,31135940.0,29999555.0
1606,3-комнатная квартира,1.0,69.0,5.0,MISSING,MISSING,1987.0,-999.0,раздельный,частично меблирована,26119200.0,33500000.0
1141,1-комнатная квартира,2.0,40.0,5.0,MISSING,MISSING,2009.0,2.85,совмещенный,частично меблирована,14300020.0,16800000.0
440,3-комнатная квартира,2.0,59.0,5.0,MISSING,MISSING,1984.0,-999.0,раздельный,частично меблирована,26438502.0,25500000.0
1115,4-комнатная квартира,5.0,82.5,5.0,MISSING,MISSING,1988.0,2.6,раздельный,частично меблирована,33901064.0,33000000.0
1374,3-комнатная квартира,9.0,92.0,9.0,MISSING,MISSING,2006.0,-999.0,раздельный,MISSING,32150140.0,32000000.0
